Key,Value,Context
A game by,Gra napisana przez,
Anda Huzau,Anda Huzau,
Andrews Magnoni,Andrews Magnoni,
Arto Österman,Arto Österman,
Awesome!,Super!,
Conditions can also be greater than or less than,Warunki mogą być także "większe niż" oraz "mniejsze niż",
Daniel Pellicer García,Daniel Pellicer García,
David Saltares Márquez,David Saltares Márquez,
Have your go at division,Spróbuj podzielić,
Irene Saltares Márquez,Irene Saltares Márquez,
Level %d,P. %d,
Level completed!,Poziom ukończony!,
Localisation,Tłumaczenie,
Meet multiplications!,Poznaj mnożenie!,
Order when combining multiplication and addition matters,Kolejność przy łączeniu mnożenia i dodawania ma znaczenie,
Original Soundtrack,Oryginalny Soundtrack,
Paused,Gra wstrzymana,
Pick a level,Wybierz poziom,
Powered by,Napędzane przez,
Samuel Föger,Samuel Föger,
Sergi Juárez Carceller,Sergi Juárez Carceller,
Sometimes you have to combine operations,Czasami musisz połączyć różne działania,
Tap or swipe to move to the star,Tapnij lub przeciągnij palcem aby ruszyć do gwiazdy,
Time,Czas,
Use operations to go through condition blocks,Użyj operacji matematycznych w celu przejścia przez klocki warunkowe,
We also have less than conditions,Mamy także warunek "mniejsze niż",
Well done!,Bardzo dobrze!,
Why not try subtractions this time?,Czemu nie spróbować tym razem odejmowania?,
You can use blue operations more than once,Niebieskie działanie moższ użyć więcej niż jeden raz,
You can use operation blocks,Możesz użyć klocków z działaniami,
You can't go past 99 points,Nie możesz zdobyć więcej niż 99 punktów,
You're a star!,Jesteś wspaniały!,
